,OID,VxHx_left,VxHx_top,VxHx_right,VxHx_btm,Area_Hex,Autopista,Ferrocarril_Int_CONV,Ferrocarril_estr_vel_conv,Ferrocarril_int_AVE,Ferrocarril_vel_conv,Via calzada unica,Via doble calzada,Via doble preferente,Via unica preferente,Arboles aislados,Vertedero,arenas,bosque,humedal,pradera,roquerios,Inst_E.E,Inst_E.EO,Inst_E.HC,Inst_E.HE,Inst_E.NU,Inst_E.OF,Inst_E.SO,Inst_E.TM,Max_WSP,Min_WSP,Mean_WSP,Calz_km,Calz_cnt,TTE_cnt,LTE_km,LTE_cnt,NA_km2,Na_cnt,UA_km2,UA_cnt,Den_P,Pend_m,InEl_km2,Con_kWh_hex,Con_kWh_Mun,Centerpoint_X,Centerpoint_Y,Prediccion_Eolica
13,14,264489.7074,4554475.523,265644.408,4553475.523,866025.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19489746660481433,0.29341952883241496,0.31292853628097106,0.02882669831986058,0.0057306590257879654,0.0,0.0,0.0,0.05826494500500016,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.13680950441446618,0.0,6.221538230629659e-05,0.0023387023381090852,265067.0577,4553975.523,1
15,16,264489.7074,4552475.523,265644.408,4551475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1878231438303074,0.30148527648938217,0.3358722177989457,0.0,0.0,0.0,0.0,0.0,0.18232204250651157,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.17872837463491587,0.0,6.221538230629659e-05,0.0023387023381090852,265067.0577,4551975.523,1
20,21,265355.7328,4556975.523,266510.4334,4555975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16870385719572545,0.2892932211125575,0.32591735857035165,0.0,0.0,0.0,0.0,0.0,0.007842746721370092,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.05216635102616885,0.0,6.221538230629659e-05,0.0023387023381090852,265933.0831,4556475.523,1
21,22,265355.7328,4555975.523,266510.4334,4554975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17580799017808857,0.28676114976098765,0.31365546527061117,0.0,0.0,0.03389830508474576,0.17719914677585985,0.058823529411764705,0.056615002187013715,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.07410277230385473,0.0,6.221538230629659e-05,0.0023387023381090852,265933.0831,4555475.523,1
22,23,265355.7328,4554975.523,266510.4334,4553975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1880696463225041,0.29492533183502867,0.3266303647622879,0.0,0.0,0.0,0.0,0.0,0.045882299772342025,0.16666666666666666,0.0,0.0,0.00015375153751537513,0.0353326496158314,0.0,6.221538230629659e-05,0.0023387023381090852,265933.0831,4554475.523,1
24,25,265355.7328,4552975.523,266510.4334,4551975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19191301991839838,0.30552323681248894,0.33492579134106193,0.0,0.0,0.0,0.0,0.0,0.1272096914333331,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.1805004670380714,0.0,6.221538230629659e-05,0.0023387023381090852,265933.0831,4552475.523,1
31,32,266221.7582,4557475.523,267376.4588,4556475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19170985263577045,0.30291642981034306,0.311223626416663,0.0,0.0,0.0,0.0,0.0,0.15316221237681632,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.1698592082469405,0.0,6.221538230629659e-05,0.0023387023381090852,266799.1085,4556975.523,1
32,33,266221.7582,4556475.523,267376.4588,4555475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17627175323200872,0.29277524906558217,0.3276827869802825,0.0,0.0,0.0,0.0,0.0,0.16907503149747669,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.11903639281661302,0.0,6.221538230629659e-05,0.0023387023381090852,266799.1085,4555975.523,1
33,34,266221.7582,4555475.523,267376.4588,4554475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17245911532427993,0.2966581214512207,0.3325155578433814,0.0,0.0,0.01694915254237288,0.16641794963156045,0.058823529411764705,0.12129119931394901,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.13124761688139214,0.0,6.221538230629659e-05,0.0023387023381090852,266799.1085,4554975.523,1
50,51,267087.7836,4555975.523,268242.4842,4554975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1799480370408394,0.2983990494588097,0.3202205206319819,0.0,0.0,0.03389830508474576,0.13856686788503092,0.058823529411764705,0.28269430875875295,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.25850475093961334,0.0,6.221538230629659e-05,0.0023387023381090852,267665.1339,4555475.523,1
51,52,267087.7836,4554975.523,268242.4842,4553975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1768774882126688,0.29527829157741536,0.3101863927052546,0.0,0.0,0.0,0.0,0.0,0.25862124118107366,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.25953518964135525,0.0,6.221538230629659e-05,0.0023387023381090852,267665.1339,4554475.523,1
54,55,267087.7836,4551975.523,268242.4842,4550975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18656046395854153,0.30188276813399084,0.3249723449968014,0.0,0.0,0.0,0.0,0.0,0.349100406275417,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.23370382394565578,0.0,6.221538230629659e-05,0.0023387023381090852,267665.1339,4551475.523,1
55,56,267087.7836,4550975.523,268242.4842,4549975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15234837949453206,0.28735267326527814,0.3257182007494941,0.0,0.0,0.0,0.0,0.0,0.27158281421843267,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.263359636144308,0.0,6.221538230629659e-05,0.0023387023381090852,267665.1339,4550475.523,1
76,77,267953.809,4551475.523,269108.5096,4550475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14156377368720185,0.30047261988660057,0.32217292073539316,0.0,0.0,0.0,0.0,0.0,0.2413517467113443,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.257655677000519,0.0,6.221538230629659e-05,0.0023387023381090852,268531.1593,4550975.523,1
79,80,267953.809,4548475.523,269108.5096,4547475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14343428304769634,0.29587050283309146,0.32322334136724873,0.0,0.0,0.0,0.0,0.0,0.2934081068033008,0.3333333333333333,0.0,0.0,0.0002050020500205002,0.250991903000278,0.0,5.262060381624741e-05,0.0006346889189015564,268531.1593,4547975.523,1
97,98,268819.8344,4555975.523,269974.535,4554975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17767470019836618,0.2897883447976234,0.3284216077463973,0.0,0.0,0.0,0.0,0.0,0.2282511961067972,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.16643217908965618,0.0,6.221538230629659e-05,0.0023387023381090852,269397.1847,4555475.523,1
